,Companies,Industries,Headquarters,Affected_Date,Country
400,Beler Holdings Inc,Wholesale,"Mississauga, ONTARIO",Jan-01,Canada
401,"Cambria County, Pennsylvania",Local Government,"Philadelphia, PA",Jan-01,States
402,New Light Christian Christian Center,Religious Organisations,"Houston, TX",Jan-01,States
403,ThyssenKrupp Holding ,Mechanical Or Industrial Engineering,"Essen, Germany",Jan-01,Deutschland
404,Allfasteners,Industrial Manufacturing,"Medina, OH",Jan-01,States
405,4th Judicial District Court,Government,"Monroe, LA",Jan-01,States
406,LindFast Solutions Group,Wholesale,"Blaine, MN",Jan-01,States
407,CB Masonry,Construction ,USA,Jan-01,States
408,"Smith &amp; McGhee, PC",Law Practice,"DOTHAN, Alabama",Jan-01,States
409,"Star-Tam, Inc.",Battery wholesaler,"SAN LEANDRO, California",Jan-01,States
410,"Chris-Leef General Agency, Inc",Insurance,"Shawnee Mission, Kansas",Jan-01,States
411,Millstone Township School District,Preschool & Child Care,"Clarksburg, NJ",Jan-01,States
412,Horizon Controls,Consulting,"Plymouth Meeting, PA",Jan-01,States
413,Adam Kutner Cares,Legal,"Las Vegas, NV",Jan-01,States
414, Neel Veterinary Hospital,Veterinary,"Oklahoma City, OK",Jan-01,States
415,Pearson Foods Corporation,Food Production,"Grand Rapids, MI",Jan-01,States
416,Earthly Choice,Food Production,"Cedar Grove, NJ",Jan-01,States
417,Siegfried &amp; Jensen,Legal,"Salt Lake City, UT",Jan-01,States
418,News Galstan and Ward Family,Dentistry,"Virginia, VA",Jan-01,States
419,Manitoulin Transport,Logistics & Supply Chain,"Gore Bay, Canada",Jan-01,Canada
420,Tile Liquidators,"Department, Clothing, & Shoe Shops","Chanhassen, MN",Jan-01,States
421,"City of Casey, Illinois",Government Administration,"Casey, IL",Jan-01,States
422,Inter-Con Servicios de Seguridad Privada ,Security Service,"Pasadena, CA",Jan-01,States
423,Higginbotham Family Dental,Healthcare Services & Hospital,"Blytheville, AR",Jan-01,States
424,Washington County Sheriff,Government,"Stillwater, MN",Jan-01,States
425,Ruddy Joinery,Construction,"Flitwick, United Kingdom",Jan-01,Kingdom
426,Prominent Europe Ltd ,Retail,"Nottingham, United Kingdom",Jan-01,Kingdom
427,The Acorn,Research & Development,"Singapore, Singapore",Jan-01,Singapore
428,Herman Goldner Co Inc,Accounting,"Philadelphia, PA",Jan-01,States
429,Ostiguy Ford,Automotive,Canada,Jan-01,Canada
430,MAT GmbH,Automotive,"Neunkirchen, Germany",Jan-01,Deutschland
431,The Judge Organization Companies,Transportation Management,"Newark, NJ",Jan-01,States
432,New York Foundation for Senior Citizens,Social Services,"New York, NY",Jan-01,States
