Companies,Industries,Headquarters,Affected_Date
Office Star Products,,,Sep-30
Real Time,,,Sep-28
Grupo GSS,,,Sep-28
TaxLeaf Corporate,,,Sep-28
Minjar Gold,,,Sep-27
parcoinc,,,Sep-27
WEST TREE SERVICE,,,Sep-27
AMAX,,,Sep-26
RTI Surgical,,,Sep-26
Jakes Finer Foods,,,Sep-24
Vera Wang Group,,,Sep-24
IN2 Engineering,,,Sep-24
IJmond Werkt,,,Sep-24
PeakLogix,,,Sep-23
Pines Ford Lincoln,,,Sep-23
NASCO Industries,,,Sep-22
PowerGrid Services,,,Sep-22
aathonrton,,,Sep-20
ASSU 2000,,,Sep-11
Vendrig Holding B.V.,,,Sep-09
TURLA SRL,,,Sep-09
Sanger & Altgelt Insurance Agents,,,Sep-09
RPE CONTRACTING,,,Sep-09
Riwega S.R.L.,,,Sep-09
MOSS BROS GROUP,,,Sep-09
JAMAC FROZEN FOODS,,,Sep-09
"Frank G. Love Envelopes, Inc.",,,Sep-09
"Grupo Herdez, S.A.B. de C.V. Holding Companies",,,Sep-09
"HBD Industries, Inc.",,,Sep-09
"Engineered Specialty Products, Inc",,,Sep-09
Fischer Homes,,,Sep-09
B.P. MITCHELL HAULAGE CONTRACTORS LIMITED,,,Sep-09
Electronic Environments Co. LLC,,,Sep-09
Bartec Gmbh,,,Sep-09
"Marquez Brothers International, Inc.",,,Sep-09
SOLWARE,,,Sep-05
Hanwha Life Vietnam,,,Sep-02
Duke Manufacturing Co.,,,Sep-02
VIVEA,,,Sep-01
Bob Poynter,,,Sep-01
DEBTIN CONSULTANTS (PTY) LTD,,,Sep-01
completeportables,,,Aug-31
"Milwaukee World Festival, Inc",,,Aug-31
world-electronics,,,Aug-30
MIDPLAZA HOLDING,,,Aug-25
Americo Manufacturing,,,Aug-25
Consiglio nazionale forense,,,Aug-23
www.abelsystem,,,Aug-18
interflex,,,Aug-17
THREE RIVERS REGIONAL COMMISSION,,,Aug-17
usvision,,,Aug-16
thegreensheet,,,Aug-16
SAC Wireless Inc,,,Aug-16
Groupe Traon Industrie Development,,,Aug-11
Welliver,,,Aug-10
Haftpflichtkasse Darmstadt,,,Aug-05
semperllc,,,Aug-05
GBLS,,,Aug-05
dimeo,,,Aug-05
friedrich,,,Aug-05
natpack,,,Aug-05
fullspectrum,,,Aug-05
cabico,,,Aug-05
trybaarchitects,,,Aug-05
alliancemercantile,,,Aug-05
gallegosunited,,,Aug-05
grupobultzaki,,,Aug-05
"B&H Construction, L.L.C.",,,Aug-03
DAVACO Inc,,,Aug-02
kontron ST group,,,Jul-31
infovista,,,Jul-31
keltbray,,,Jul-27
habasit,,,Jul-27
aris-services,,,Jul-27
Revision Skincare.,,,Jul-27
HUF GROUP,,,Jul-23
imasa,,,Jul-20
Pure Power Technologies,,,Jul-20
Beckley,,,Jul-19
Actiontec,,,Jul-19
INSERM-TRANSFER,,,Jul-19
Lucky Star Casino,,,Jul-19
KOMPAN A/S,,,Jul-17
ALBIOMA,,,Jul-12
RIB GROUP,,,Jul-09
Proponent,,,Jul-09
Goetze Dental,,,Jul-08
supplyforce,,,Jul-05
friedrich,,,Jul-05
Vogel Heating & Cooling,,,Jul-01
Dynamic NC,,,Jun-29
The Brock Group,,,Jun-29
The Waterloo Networking Company,,,Jun-25
Southern Eagle Distributing,,,Jun-25
Perfume Worldwide Inc.,,,Jun-25
Lareau Courtiers d’assurances,,,Jun-25
"Nickerson Insurance Services, Inc",,,Jun-25
Sleep Outfitters,,,Jun-25
FNA GROUP,,,Jun-25
Concept Building Services,,,Jun-25
Scott Felder Homes,,,Jun-25
Complete Automation,,,Jun-23
Brown Strauss Steel,,,Jun-23
Voltalia,,,Jun-23
Uniware Systems,,,Jun-23
Cerfrance Côtes d,,,Jun-23
USI,,,Jun-23
East Texas Alarm,,,Jun-23
Antwerp Local Schools,,,Jun-22
City of Tulsa,,,Jun-22
"Southwest Recovery Services, LLC",,,Jun-20
Ascenz,,,Jun-18
Windmill Health Products,,,Jun-18
Maître Prunille,,,Jun-18
Groupe ISERBA,,,Jun-17
BRANGEON Groupe,,,Jun-17
Au Forum Du Batiment SAS,,,Jun-17
DirickX,,,Jun-17
Filtertek,,,Jun-17
SEVES Group SpA,,,Jun-17
Contrast Lighting,,,Jun-17
University of Corboda,,,Jun-17
National Louis University,,,Jun-17
Sunsations Inc.,,,Jun-17
eCapital,,,Jun-16
La Innovacion,,,Jun-15
DSD PARTNERS,,,Jun-14
STAM,,,Jun-10
Stride Tool,,,Jun-10
Technical University of Berlin,,,Jun-10
IPSEN,,,Jun-09
TPI Corporation,,,Jun-09
Romeo Engineering Inc,,,Jun-09
Image one,,,Jun-08
OpTech Staffing Solutions,,,Jun-08
Thomas Westcott,,,Jun-08
PLURIPHARMA SRL,,,Jun-07
Funbreak,,,Jun-07
Birmingham Barons,,,Jun-07
Xpressdocs,,,Jun-07
A&A MECHANICAL,,,Jun-06
"Nissin International Transport U.S.A., Inc.",,,Jun-04
Strongco,,,Jun-04
Plimpton and Hills Corp,,,Jun-02
Temmel Logistik Center,,,Jun-01
DSD PARTNERS,,,May-31
Flaghouse,,,May-25
BVA Group,,,May-25
Finolex Cables Ltd.,,,May-24
Moor Park High School,,,May-24
PT. Realta Chakradarma,,,May-21
TELCAL srl,,,May-20
"Michael Stevens Interests, Inc.",,,May-20
MHA MacIntyre Hudson,,,May-20
ResCon Group,,,May-20
Loudoun Mutual Insurance Company,,,May-20
ARWORLD,,,May-20
AZ INVESTIGATION,,,May-20
DigiCon Technologies Limited,,,May-20
Transports P. Fatton Inc.,,,May-20
"Hentzen Coatings, Inc.",,,May-20
LG CNS,,,May-20
Mauffrey Group,,,May-20
Seifert Logistics Group,,,May-20
"Ash Industries, Inc.",,,May-20
Cable Color S.A. de C.V.,,,May-20
Cairns Marine,,,May-20
"Birtcher Anderson & Davis Associates, Inc.",,,May-20
"Creative Liquid Coatings, Inc",,,May-20
empire physicians Medical Group,,,May-19
Intermountain Farmers Association - IFA COUNTRY STORES,,,May-19
Tasman Butchers,,,May-18
Wizie,,,May-13
Bee County Texas,,,May-13
MISSION IMPRINTABLES,,,May-07
PCH International,,,May-06
TRACTOR CENTRAL,,,May-05
Jacquet Metals Group,,,May-03
Travers Tool Co Inc,,,May-03
PNGC Power,,,May-03
Party Rental LTD,,,May-03
Options Greathire Ltd,,,May-03
Matco-Norca,,,May-03
Interfel Corp,,,May-03
Edifice General Contractors,,,May-03
Bertucci,,,May-03
Citizens Of Humanity,,,May-03
C.E.E. Schisler Packaging Solutions,,,May-03
CAVENDERS,,,Apr-30
Capmatic,,,Apr-28
SpecPage,,,Apr-23
aspire inc,,,Apr-23
Hensley Beverage Company,,,Apr-23
Readie Construction Ltd,,,Apr-22
Precision Terminal Logistics,,,Apr-22
HW Fisher,,,Apr-22
HumanWare,,,Apr-22
Ford Meter Box,,,Apr-22
Cairn Capital,,,Apr-22
Bauder Roofing Solutions,,,Apr-22
Apperton,,,Apr-22
SG World,,,Apr-22
New England Finish Systems,,,Apr-22
DDSG Logistics,,,Apr-22
Lauzon Flooring,,,Apr-22
The Village Vets,,,Apr-22
Kaleidoscope Charter School,,,Apr-22
Broward County Public Schools,,,Apr-19
Thomas Keating,,,Apr-14
clinica_integral_de_emergencias_laura_daniela,,,Apr-11
Faxinating Solutions,,,Apr-10
Comfort Keepers,,,Apr-09
TRACEY FOX KING & WALTERS,,,Apr-09
Pitt Plastics LLC,,,Apr-09
groupe-upperside,,,Apr-06
Klenda Austerman LLC,,,Apr-06
cross city church,,,Apr-06
FE Moran Security Solutions,,,Apr-05
CODIFER S.A.S,,,Apr-01
City of Kingman,,,Mar-26
Whole chat with a recovery-company from Broward Schools,,,Mar-26
Buddy Gregg RVs and Motor Homes,,,Mar-24
cross city church,,,Mar-24
TL Machine,,,Mar-23
Diamonds international,,,Mar-23
Health Aid Of Ohio,,,Mar-17
Advantech,,,Mar-17
"Lincoln County, Washington",,,Mar-17
Holly Poultry LLC,,,Mar-17
Vander-Bend Manufacturing,,,Mar-17
SET Enterprises Inc,,,Mar-17
Nenplas Company,,,Mar-17
LivaNova PLC,,,Mar-16
capmar,,,Mar-16
KeyColour Dyesis ,,,Mar-11
Amaroo Village,,,Mar-11
Nienkamper Furniture & Accessories Inc,,,Mar-10
"Area Diesel Service, Inc.",,,Mar-10
White Management Corp,,,Mar-09
mclellanindustries,,,Mar-08
Ajax TOCCO,,,Mar-04
The Brevard County Sheriff,,,Mar-04
Exide Technologies,,,Mar-04
H-E-B Center at Cedar Park,,,Mar-04
IIS Produce,,,Mar-04
С.A.T. Inc,,,Mar-04
Christensen O Connor Johnson Kindness,,,Mar-04
 morris costumes,,,Mar-02
Clearfield County / North Central Broadband Survey,,,Mar-01
Willdan Group,,,Mar-01
Island Pacific,,,Mar-01
Caster Concepts,,,Feb-25
J Rosenthal and Son,,,Feb-24
"Atlantic, Tomorrow",,,Feb-24
Custom Made Meals,,,Feb-24
The International Society of Automation,,,Feb-24
PartsBase,,,Feb-24
Neil Kelly,,,Feb-24
Romero Gamero,,,Feb-24
Blue Projectc Inc,,,Feb-24
Valley Wide Cooperative,,,Feb-24
Smith,,,Feb-24
MNA Media,,,Feb-24
B Green Wholesale,,,Feb-24
PFF Group UK,,,Feb-24
SMC Industries,,,Feb-23
Syndiant,,,Feb-17
Tirrena Scavi,,,Feb-17
Total Fitness,,,Feb-17
SkyeTec,,,Feb-16
Supply New England,,,Feb-16
"Pace Center for Girls, Inc.",,,Feb-13
Innovsource,,,Feb-13
Prima Frutta,,,Feb-12
Leon Medical Centers,,,Feb-12
Scotch Plywood Company,,,Feb-11
Trudeau Corporation Inc,,,Feb-10
Penn Emblem,,,Feb-10
Nocona General Hospital,,,Feb-10
remaxkelowna,,,Feb-10
Netcom Kassel,,,Feb-08
ColorPoint Print,,,Feb-08
MUNOZ TRUCKING,,,Feb-05
"DOUG HOLLYHAND REALTY, INC.",,,Feb-03
Allegheny Intermediate Unit,,,Jan-31
VENTILABEC,,,Jan-27
Orcas Naturals,,,Jan-26
CARLBELT,,,Jan-25
Murchison & Cumming,,,Jan-25
"Warren, Washington and Albany Counties ARC",,,Jan-23
Gulf Copper,,,Jan-22
Rotek Incorporated,,,Jan-22
Sunny Hills Management Co,,,Jan-21
Gesgapegiag,,,Jan-21
Metroplex Cabinets,,,Jan-21
Scottish environment protection agency,,,Jan-21
Stark Metal Sales Inc,,,Jan-21
John Brooks Company,,,Jan-20
MEDTRON,,,Jan-20
The Fayette County Emergency Management Agency,,,Jan-20
Legacyfarms LLC,,,Jan-19
Fattorie Garofalo Soc. Coop. Agricola,,,Jan-19
Creccal Investments Ltd / company profile,,,Jan-19
Sangoma,,,Jan-19
Schick Civil Construction Ltd ,,,Jan-15
The Abaco Club on Winding Bay,,,Jan-15
