Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
REvil,Spiezle Architectural Group,Construction,"Hamilton, NJ",States,,No,PII
REvil,Ensinger,Manufacturing,"Nufringen, Germany",Deutschland,,No,Trade Secret
REvil,Primo Water,Manufacturing,"Winston-Salem, NC",States,,No,PII
REvil,Innocean,Advertising & Marketing,"Seoul, South Korea",South Korea,,Yes,Trade Secret
REvil,HX5,Technology,"Fort Walton Beach, FL",States,,No,PII
REvil,Daylesford Farmshop & CafÃ©,Food,"London, United Kingdom",Kingdom,,No,Entire System
REvil,Smith & Wollensky,Food,"Boston, MA",States,,No,PII
REvil,Whittlesey,Financial,"Hartford, CT",States,,No,Entire System
REvil,CitroÃ«n,Manufacturing,"Paris, France",France,,No,Entire System
REvil,Agile Property,Construction,"Zhongshan, China",China,,Yes,Entire System
REvil,Betenbough Homes,Real Estate,"Lubbock, TX",States,,No,PII
REvil,GDS Group,Research & Development,"Bristol, United Kingdom",Kingdom,,No,Inventory
REvil,Amfine Chemical,Research & Development,"Hasbrouck Heights, NJ",States,,No,Entire System
REvil,TreeHouse,Retail & Sales,"Austin, TX",States,,No,Entire System
REvil,GovNet,Retail & Sales,"London, United Kingdom",Kingdom,,No,Entire System
REvil,Southern Asphalt,Construction,"Conway, SC",States,,No,Entire System
REvil,Thomas Concrete,Manufacturing,"Atlanta, GA",States,,No,Financial Statements
REvil,Neo Derm,Manufacturing,"Hong Kong, Hong Kong",Hong Kong,,Yes,Entire System
REvil,Harris Federation,Education,"Croydon, United Kingdom",Kingdom,,No,Undisclosed
REvil,Maestri-Murrell Commercial Real Estate,Real Estate,"Baton Rouge, LA",States,,No,Entire System
REvil,Benetech,Technology,"Palo Alto, CA",States,,No,Undisclosed
REvil,Architectural Products of Virginia,Manufacturing,"Ashland, VA",States,,No,Entire System
REvil,Cockram Construction,Construction,"Kalamazoo, MI",States,,No,Trade Secret
REvil,Reno & Zahm,Manufacturing,"Rockford, IL",States,,No,Client Information
REvil,TRIGANO,Manufacturing,"Paris, France",France,,No,Entire System
REvil,Standley Systems,Retail & Sales,"Chickasha, OK",States,,No,PII
REvil,MJS,Technology,"Nairobi, Kenya",Kenya,,No,Entire System
REvil,Southern Arkansas University,Education,"Magnolia, AR",States,,No,Client Information
REvil,Malcolm Drilling,Technology,"San Francisco, CA",States,,No,PII
REvil,J & B Distributing Co,Financial,"Chicago, IL",India,,No,Employee Data
REvil,Shelly & Sands,Construction,"Zanesville, OH",States,,No,Financial Statements
REvil,General Insulation,Manufacturing,"Medford, MA",States,,No,Entire System
REvil,Weiland Logistics,Essential Services,"Wautoma, WI",States,,No,Client Information
REvil,Ghilotti Bros,Construction,"San Rafael, CA",States,,No,Financial Statements
REvil,HUBER + SUHNER,Manufacturing,"Herisau, Switzerland",Switzerland,,No,Entire System
REvil,Kenneth Copeland Ministries,Religious industry,"Fort Worth, TX",States,,No,Financial Statements
REvil,Kenneth Copeland Ministries,Religious industry,"Fort Worth, TX",States,,No,Financial Statements
REvil,Trevor Sorbie International,Essential Services,"Covent Garden, United Kingdom",Kingdom,,No,Computer Files
REvil,Bentek,Manufacturing,"San Jose, CA",States,,No,PII
REvil,Cardinal Logistics Management,Logistics and Supply,"Concord, NC",States,,No,Financial Statements
REvil,RMD Kwikform,Consulting,"Walsall, United Kingdom",Kingdom,,No,Entire System
REvil,Kenneth Copeland Ministries,Religious industry,"Fort Worth, TX",States,,No,Financial Statements
REvil,CMC Consulting (UK),Consulting,"Saint Albans, United Kingdom",Kingdom,,No,Financial Statements
REvil,World Logistics Group,Logistics and Supply,"Woodstock, GA",States,,No,Financial Statements
REvil,The Lee Company,Manufacturing,"Westbrook, CT",States,,No,Entire System
REvil,Richardson,Consulting,"Philadelphia, PA",States,,No,Undisclosed
REvil,Gaming Partners International,Manufacturing,"North Las Vegas, NV",States,,No,Entire System
REvil,Matson,Logistics and Supply,"Honolulu, HI",States,,No,Financial Statements
REvil,Arapahoe Libraries,Government,"Englewood, CO",States,,No,Financial Statements
REvil,Braskem,Manufacturing,"SÃ£o Paulo, Brazil",Brasil,,No,Financial Statements
REvil,New Chapter Consulting,Consulting,"Leeds, United Kingdom",Kingdom,,No,Undisclosed
REvil,"Russell,Kraft&Gruber",Legal,"Lancaster, Pennsylvania",Kingdom,,No,Employee Data
REvil,Meinhardt Singapore,Financial,"Singapore, Singapore",Singapore,,Yes,Entire System
REvil,Agrosuper,Manufacturing,"Rancagua, Chile",Chile,,No,Employee Data
REvil,Amicorp,Financial,"Bangalore, India",India,,Yes,Employee Data
REvil,Elsa,Manufacturing,"Elwood, IN",Australia,,Yes,Entire System
REvil,Eurecat U S Incorporated,Manufacturing,"Houston, TX",Italia,,No,Undisclosed
REvil,ODLO,Manufacturing,"HÃ¼nenberg, Switzerland",Switzerland,,No,Client Information
REvil,ADIF,Logistics and Supply,"Madrid, Spain",Spain,,No,Financial Statements
REvil,Genesis Products,Manufacturing,"Elkhart, IN",States,,No,Computer Files
REvil,Duncan Enterprises,Manufacturing,"Fresno, CA",States,,No,PII
REvil,Silvaris,Retail & Sales,"Mercer Island, WA",States,,No,Client Information
REvil,Lion,Food,"Sydney, Australia",Australia,,Yes,Financial Statements
REvil,Spec Inc,Manufacturing,"Erlanger, KY",States,,No,Client Information
REvil,Snaptron,Manufacturing,"Windsor, CO",Colombia,,No,Entire System
REvil,Armour & Associates,Consulting,"Meridian, ID",States,,No,Client Information
REvil,Patten & Prentice,Legal,"Greenock, United Kingdom",Kingdom,,No,Client Information
REvil,The Cactus Group,Essential Services,"Brooks, Canada",Canada,,No,Financial Statements
REvil,Ascent Network,Consulting,"Houston, TX",States,,No,Client Information
REvil,National Eating Disorders Association,Essential Services,"Seattle, 061",States,,No,Entire System
REvil,Burhani Engineers,Technology,"Nairobi, Kenya",Kenya,,No,Entire System
REvil,Jamaica National Building Society,Financial,"Kingston, Jamaica",Jamaica,,No,Entire System
REvil,Tire-Rama,Retail & Sales,"Billings, MT",States,,No,Financial Statements
REvil,VP Supply,Retail & Sales,"Rochester, NY",States,,No,PII
Pysa,My Cloud Star,Technology,"Jacksonville, FL",States,08/16/21,No,Entire System
Pysa,HPW,Technology,"Palo Alto, CA",States,04/29/21,No,Entire System
Pysa,HVAC Facility & Plant Maintenance Tools,Technology,"Stamford, CT",States,04/20/21,No,Computer Files
Pysa,Danko Emergency Equipment,Essential Services,"Skive, Denmark",Denmark,04/21/21,No,Financial Statements
Pysa,FCS Financial,Financial,"Jefferson City, MO",States,04/18/21,No,Financial Statements
Pysa,HABI,Real Estate,"Salt Lake City, Utah",States,04/21/21,No,Entire System
Pysa,Woodlake Unified,Education,"WOODLAKE, California",States,4/8/2021,No,PII
Pysa,Haverhill High School,Education,"Haverhill, MA",States,4/7/2021,No,Client Information
Pysa,Spartanburg & Pelham OB-GYN,Healthcare,"Spartanburg, SC",States,4/7/2021,No,PII
Pysa,Grupo SAN,Construction,"Don Torcuato, Argentina",Argentina,4/12/2021,No,Entire System
Pysa,Jesse Engineering Co,Construction,"Tacoma, WA",States,04/20/21,No,Entire System
Pysa,One Community Health,Healthcare,"Sacramento, CA",States,04/20/21,No,PII
Pysa,Logansport Community School Corporation,Technology,"Logansport, IN",States,11/4/2021,No,Undisclosed
Pysa,Betson Enterprises,Sport & Recreation,"Carlstadt, NJ",States,4/10/2021,No,PII
Pysa,Karavan Trailers,Travel,"Fox Lake, WI",States,4/1/2021,No,Undisclosed
Pysa,WPSD Local 6,Entertainment,"Paducah, KY",States,03/20/21,No,Financial Statements
Pysa,LJ Hooker Aspley,Real Estate,Australia,Australia,7/2/2021,Yes,Undisclosed
Pysa,Famous Supply,Retail & Sales,"Akron, OH",States,7/2/2021,No,PII
Pysa,the NET - Northeast Tennessee Media Group,Advertising & Marketing,"Salt Lake City, UT",States,7/2/2021,No,Client Information
Pysa,Bulley,Construction,"Chicago, IL",States,5/2/2021,No,Undisclosed
Pysa,Sarmad Steel,Manufacturing,"Tehran, Iran",Iran,03/15/21,No,Undisclosed
Pysa,Vermont Personal Injury Lawyers,Legal,"Essex Junction, Vermont",States,03/16/21,No,Client Information
Pysa,Upstate HomeCare,Healthcare,"Utica, NY",States,3/11/2021,No,PII
Pysa,The Fashion Group International,Retail & Sales,"New York, NY",States,4/7/2021,No,PII
Pysa,OHL Judlau,Construction,"College Point, NY",States,03/30/21,No,Undisclosed
Pysa,Cyclone Steel,Utilities,"Houston, Texas",States,03/21/21,No,Undisclosed
Pysa,Geotechnical Consultants Inc.,Technology,"Westerville, Ohio",States,03/23/21,No,Entire System
Pysa,Hyper Microsystems,Technology,"Rolling Meadows, Illinois",States,03/19/21,No,Computer Files
Pysa,St Bede's College,Education,"Bristol, United Kingdom",Kingdom,03/15/21,No,Employee Data
Pysa,Buffalo Schools,Education,"Buffalo, NY",States,3/12/2021,No,PII
Pysa,Aztec Events,Retail & Sales,"Houston, TX",States,3/7/2021,No,PII
Pysa,Alliance Architecture,Construction,"Washington, DC",States,5/3/2021,No,Undisclosed
Pysa,AFP Elevator,Manufacturing,Iran,Iran,03/15/21,No,Undisclosed
Pysa,Zane State College,Education,"Zanesville, OH",States,29/3/2021,No,PII
Pysa,Commack Fire Department,Government,"Commack, NY",States,03/22/21,No,Undisclosed
Pysa,ATC Transportation,Travel,"Pleasant Prairie, WI",States,03/22/21,No,Undisclosed
Pysa,Zamora,Food,"Madrid, Spain",España,03/19/21,No,Undisclosed
Pysa,Children's Network of Southwest Florida,Religious,"Fort Myers, FL",States,22/3/2021,No,Financial Statements
Pysa,Dayton Door Sales,Construction,"Dayton, OH",States,15/3/2021,No,PII
Pysa,Drug Alcohol Testing and Screening Compliance in Texas,Consulting,"Houston, TX",States,13/3/2021,No,Client Information
Pysa,"Divorce Lawyer in Reading & Douglassville, PA",Legal,"Douglassville, PA",States,7/3/2021,No,PII
Pysa,Worldwide Oilfield Machine,Utilities,"Houston, Texas",States,27/2/2021,No,Undisclosed
Pysa,Affton School District,Healthcare,Educational Institution,India,25/2/2021,No,PII
Pysa,Gering Public Schools,Healthcare,"Gering, NE",States,24/2/2021,No,Financial Statements
Pysa,Home Grown Grocery Food Supermarket,Food,"Minneapolis, MN",States,22/2/2021,No,PII
Pysa,JVSmith Companies,Real Estate,"Bethesda, MD",States,20/2/2021,No,Financial Statements
Pysa,Ciruli Brothers,Food,"Tubac, Arizona",States,20/2/2021,No,Financial Statements
Pysa,Eagle Eye Produce,Food,"Idaho Falls, ID",States,10/3/2021,No,Financial Statements
Pysa,Wiener Laboratorios,Healthcare,"Rosario, Santa Fe",Argentina,5/3/2021,No,PII
Pysa,Legacy Housing Corporation,Construction,"Bedford, TX",States,28/2/2021,No,Client Information
Pysa,Aireko,Construction,"Caguas, PR",States,27/2/2021,No,Client Information
Pysa,Grover Corparation,Manufacturing,"Milwaukee, WI",States,25/2/2021,No,Undisclosed
Pysa,Public Restroom Company,Construction,"Minden, NV",States,23/2/2021,No,Undisclosed
Pysa,Marlboro Pediatric Dentistry,Healthcare,"Marlborough, MA",States,23/2/2021,No,PII
Pysa,Millersville University,Education,"Millersville, Pennsylvania",States,3/4/2021,No,PII
Pysa,Immanuel Lutheran Church and School,Education,"Loveland, CO",States,22/2/2021,No,PII
Pysa,Modern Data Systems,Technology,Saudi Arabia,Arabia,17/2/2021,No,Entire System
Pysa,Upstate Home Care,Healthcare,"Utica, NY",States,24/2/2021,No,PII
Pysa,Levante UD,Sport & Recreation,"Valencia, Valencia",España,19/2/2021,No,Undisclosed
Pysa,Dale Operating Company,Utilities,"Dallas, TX",States,18/2/2021,No,Financial Statements
Pysa,Transam Carriers,Travel,"Olathe, KS",States,22/3/2021,No,Undisclosed
Pysa,Bridgeway Inc,Essential Services,"Galesburg, IL",States,14/3/2021,No,Undisclosed
Pysa,City of Covington Louisiana,Government,"Covington, Washington",States,11/3/2021,No,PII
Pysa,Western Flyer Express,Logistics and Supply,"Oklahoma City, OK",States,8/3/2021,No,Undisclosed
Pysa,Forest City Fire Protection,Essential Services,"London, Ontario",Canada,6/3/2021,No,Undisclosed
Pysa,Woodholme Gastroenterology Associates,Healthcare,"BALTIMORE, Maryland",States,1/2/2021,No,Undisclosed
Pysa,Momentum Transportation,Logistics and Supply,"Jacksonville, FL",States,23/2/2021,No,Undisclosed
Pysa,Florence-Darlington Technical College,Education,"Florence, SC",States,18/2/2021,No,PII
Pysa,FirstCash Inc,Financial,"Fort Worth, TX",States,11/2/2021,No,Undisclosed
Pysa,Tenderloin Housing Clinic,Healthcare,"San Francisco, CA",States,15/2/2021,No,PII
Pysa,Paysoft,Technology,"Las Vegas, NV",States,13/2/2021,No,Undisclosed
Pysa,EBSU,Manufacturing,Canada,Canada,12/2/2021,No,Undisclosed
Pysa,Repro X-Press,Technology,"Montebello, CA",States,9/2/2021,No,Undisclosed
Pysa,BABB Security Systems,Essential Services,Canada,Canada,7/2/2021,No,Computer Files
Pysa,Ogden Golf & Country Club,Entertainment,United States,States,5/2/2021,No,Undisclosed
Pysa,OnLINE FM,Technology,"Germantown, Tennessee",States,1/2/2021,No,Undisclosed
Pysa,A Superior Towing,Logistics and Supply,"Reynoldsburg, OH",States,01/31/21,No,Financial Statements
Pysa,La ChÃ¢taigneraie,Education,"Founex, Switzerland",Switzerland,01/30/21,No,PII
Pysa,Baldwin Wallace University,Education,United States,States,29/1/2021,No,PII
Pysa,Blackhawk Mining,Manufacturing,United States,States,2/10/2021,No,Undisclosed
Pysa,Zionsville Community Schools,Education,"Zionsville, IN",States,2/5/2021,No,PII
Pysa,IDS Online Store,Retail & Sales,"Dayton, New Jersey",States,2/5/2021,No,Undisclosed
Pysa,Dallas Production,Utilities,"Dallas, Texas",States,01/27/21,No,Undisclosed
Pysa,D.W. Haber & Son,Retail & Sales,United States,States,2/9/2021,No,Undisclosed
Pysa,Esteyco,Essential Services,"Madrid, Madrid",Spain,02/14/21,No,Undisclosed
Pysa,"American Industrial Felt & Supply, Inc",Manufacturing,United States,States,01/31/21,No,Undisclosed
Pysa,ProSource Wholesale,Retail & Sales,"Earth City, MO",States,01/30/21,No,Undisclosed
Pysa,Lo Studio Bartoli & Arveda,Consulting,Italy,Italia,01/30/21,No,Financial Statements
Pysa,Prefeitura de BalneÃ¡rio CamboriÃº,Government,Brazil,Brasil,01/27/21,No,Undisclosed
Pysa,Syracuse New Times,Advertising & Marketing,"Syracuse, NY",States,01/22/21,No,Undisclosed
Pysa,Siesacloud,Technology,Spain,Spain,01/14/20,No,Computer Files
Pysa,Plantaciones de PlÃ¡tano,Retail & Sales,"Santa Cruz de Tenerife, Tenerife",Spain,1/12/2020,No,Financial Statements
Pysa,Grant Supplies,Retail & Sales,"Teaneck Township, New Jersey",States,12/31/20,No,Financial Statements
Pysa,Viport,Government,"ST THOMAS, VI",States,01/29/2021,No,Undisclosed
Pysa,Powerblanket,Manufacturing,"Salt Lake City, UT",States,01/23/21,No,Undisclosed
Pysa,Brain:IT,Technology,"San Mateo, CA",States,2/8/2021,No,Undisclosed
Pysa,Fairfax University of America,Education,"Fairfax, Virginia",States,1/11/2020,No,PII
Pysa,Doak Shirreff Lawyers,Legal,Canada,Canada,12/16/20,No,Undisclosed
Pysa,Grand Annecy Agglomeration,Government,"Annecy, France",France,12/16/20,No,Undisclosed
Pysa,Cleveland Institute of Music,Education,United States,States,12/29/20,No,Undisclosed
Pysa,Tucker Oil Company Inc.,Utilities,"Columbia, SC",States,12/31/20,No,Financial Statements
Pysa,Wolf Lake Industrial Center and Terminals,Logistics and Supply,"Hammond, IN",States,12/26/20,No,Undisclosed
Pysa,Implanta Spa,Healthcare,"Daejeon, South Korea",South Korea,12/26/20,Yes,PII
Pysa,Peters Bosel Lawyers,Legal,Australia,Australia,12/30/20,Yes,Undisclosed
Pysa,Little Elm,Education,"Little Elm, TX",States,12/10/2020,No,Undisclosed
Pysa,Flamingo Horticulture,Retail & Sales,Kenya,Kenya,12/10/2020,No,Undisclosed
Pysa,Prairie View A&M University,Education,United States,States,4/2/2021,No,PII
Pysa,Intecs group,Technology,"Rome, Italy",Italia,12/13/20,No,Undisclosed
Pysa,Wisconsin Public Radio,Advertising & Marketing,"Madison, WI",States,11/12/2020,No,Undisclosed
Pysa,Jebco Agencies Inc.,Logistics and Supply,Canada,Canada,01/13/21,No,Undisclosed
Pysa,Romanoff Group,Construction,"Gahanna, Oh",States,12/14/20,No,Undisclosed
Pysa,Neenan Company,Construction,"Fort Collins, CO",States,01/16/21,No,Undisclosed
Pysa,Bridgwater & Taunton College,Education,UK,Kingdom,1/12/2020,No,PII
Pysa,The Bascom,Real Estate,"Irvine, CA",States,01/26/2021,No,Undisclosed
Pysa,Blueknight Energy Partners,Utilities,"Tulsa, OK",States,01/17/2021,No,Undisclosed
Pysa,Ãstre Toten Kommune Voksenopplring,Government,"Lena , Ãstre Toten kommune",Norway,12/19/2020,No,Undisclosed
Pysa,The FitzWimark School,Education,"Rayleigh, England",Kingdom,6/12/2020,No,PII
Pysa,"DFW Communications,Inc.",Advertising & Marketing,"Arlington, TX",States,1/12/2020,No,Undisclosed
Pysa,Palos Community Consolidated School District 118,Preschool & Child Care,"Palos Park, IL",States,9/12/2020,No,PII
Pysa,CCS,Accounting,"Norwood, MA",States,12/10/2020,No,PII
Pysa,Provenza Floors,Construction,"Tustin, California",States,12/3/2020,No,Undisclosed
Pysa,Salesianum School,Education,"Wilmington, DE",States,11/29/2020,No,PII
Pysa,Brookfield Public Schools,Healthcare,"Brookfield, Connecticut",States,12/1/2020,No,Undisclosed
Pysa,Thinkware,Technology,"Cincinnati, Ohio",States,1/12/2021,No,Employee Data
Pysa,Nama Khoi Municipality,Government,South Africa,Africa,11/29/2020,No,Entire System
Pysa,Financial Evolution,Technology,"Torino, TO",Italia,11/23/2020,No,Undisclosed
Pysa,Brickhaus,Real Estate,"Cleveland, OH",States,12/5/2020,No,Undisclosed
Pysa,Summit Appliance,Manufacturing,"Bronx, NY",States,12/2/2020,No,Undisclosed
Pysa,King Henrys,Consulting,"Valencia, California",States,12/3/2020,No,Undisclosed
Pysa,Outwest Express LLC,Logistics and Supply,"El Paso, TX",States,11/22/2020,No,Undisclosed
Pysa,Serinus Energy Plc,Utilities,"Singapore, Singapore",Singapore,11/10/2020,Yes,Undisclosed
Pysa,Mid-Florida Pathology,Healthcare,"Leesburg, Florida",States,11/22/2020,No,Undisclosed
Pysa,Max. Aarts,Retail & Sales,"Enschede, Overijssel",Nederland,11/28/2020,No,PII
Pysa,Torello Moving Strategies,Logistics and Supply,"Montoro, Avellino",Italia,11/27/2020,No,Undisclosed
Pysa,St. Mary School Hyde Park,Education,United States,States,11/13/2020,No,Undisclosed
Pysa,"Overlake Obstetricians & Gynecologists,PC",Healthcare,"Bellevue, WA",States,11/29/2020,No,Undisclosed
