,REvil Headers,Company Name,Industry,Headquarters
0,Spiezle Architectural Group Inc.,Spiezle Architectural Group,Construction,"Hamilton, NJ"
1,ensingerplastics.com,Ensinger,Miscellaneous Manufacturing,"Nufringen, Germany"
2,Primo Water,Primo Water,Food & Drink Manufacturing,"Winston-Salem, NC"
3,inocean.no / 2000 GB,Innocean,Advertising & Marketing,"Seoul, South Korea"
4,"Hx5, LLC",HX5,Aerospace & Defence,"Fort Walton Beach, FL"
5,Daylesford - BHoldings - Bamford - The Wild Rabbit,Daylesford Farmshop & Café,Food & Beverage Shops,"London, United Kingdom"
6,"The Smith & Wollensky Restaurant Group, Inc.",Smith & Wollensky,Up-Market Restaurant,"Boston, MA"
7,Whittlesey & Hadley,Whittlesey,Accounting,"Hartford, CT"
8,Citroen Wells,Citroën,Transport Equipment Manufacturing,"Paris, France"
9,Agile Property Holdings,Agile Property,Construction,"Zhongshan, China"
10,Betenbough Homes,Betenbough Homes,Estate Agent,"Lubbock, TX"
11,GDS Gesellschaft für Datenverarbeitungssysteme ,GDS Group,Research & Development,"Bristol, United Kingdom"
12,Amfine Chemical Corporation ,Amfine Chemical,Research & Development,"Hasbrouck Heights, NJ"
13,Treehouse hotels,TreeHouse,Home Centres & Hardware/DIY Shops,"Austin, TX"
14,govnet of fiji,GovNet,Publishing,"London, United Kingdom"
15,SOUTHERN ASPHALT,Southern Asphalt,Construction,"Conway, SC"
16,Thomas Concrete Group,Thomas Concrete,Metal & Mineral Manufacturing,"Atlanta, GA"
17,NEO DERM GROUP LTD,Neo Derm,Consumer Products Manufacturing,"Hong Kong, Hong Kong"
18,Harris Federation,Harris Federation,Primary or Secondary Education,"Croydon, United Kingdom"
19,Maestri Murrell Commercial Real Estate,Maestri-Murrell Commercial Real Estate,Estate Agent,"Baton Rouge, LA"
20,"Benetech, Inc.",Benetech,Internet,"Palo Alto, CA"
21,Architectural Products of Virginia (apva.com),Architectural Products of Virginia,Miscellaneous Manufacturing,"Ashland, VA"
22,cockram,Cockram Construction,Biotech & Pharmaceutical,"Kalamazoo, MI"
23, Reno & Zahm LLP,Zahm & Nagel,Electrical & Electronic Manufacturing,"Holland, NY"
24,"TRIGANO, EUROPE’S NUMBER ONE FOR TRAILERS",TRIGANO,Transport Equipment Manufacturing,"Paris, France"
25,Standley Systems (standleys.com),Standley Systems,Wholesale,"Chickasha, OK"
26,MJS Packaging Inc (mjspackaging.com),MJS,IT Service,"Nairobi, Kenya"
27,Southern Arkansas University,Southern Arkansas University,Colleges & Universities,"Magnolia, AR"
28,"Malcolm Drilling Company, Inc.",Malcolm Drilling,Architectural & Engineering Service,"San Francisco, CA"
29,J & B Distributing Co.,JB Boda & Company,Insurance Operator,"Mumbai, India"
30,Dailry Farm $30 billion revenue,DFI Retail Group,Grocery Shops & Supermarket,"Quarry Bay, Hong Kong"
31, General Insulation - DATA UPLOADED (2/5),General Insulation,Industrial Manufacturing,"Medford, MA"
32,weilandlogistics.com,Worldwide Logistics,Removal Service,"Paramus, NJ"
33,Ghilotti Bros. Inc  ,Ghilotti Bros,Construction,"San Rafael, CA"
34,HUBER+SUHNER,HUBER + SUHNER,Metal & Mineral Manufacturing,"Herisau, Switzerland"
35,PROOFS FOR KENNETH COPELAND,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
36,#PRESS RELEASE 2 - Kenneth Copeland,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
37,Trevor Sorbie,Trevor Sorbie International,"Health, Beauty & Fitness","Covent Garden, United Kingdom"
38,Bentek ,Bentek,Miscellaneous Manufacturing,"San Jose, CA"
39, Cardinal Logistics,Cardinal Logistics Management,Logistics & Supply Chain,"Concord, NC"
40,RMD Kwikform - 1b Revenue,RMD Kwikform,Consulting,"Walsall, United Kingdom"
41,#PRESS RELEASE: Kenneth Copeland,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
42, CMC Consulting,CMC Consulting (UK),Staffing & Outsourcing,"Saint Albans, United Kingdom"
43,WORLD LOGISTICS USA INC,World Logistics Group,Logistics & Supply Chain,"Woodstock, GA"
44,TheLeeco,The Lee Company,Industrial Manufacturing,"Westbrook, CT"
45,Richardson,Richardson,Consulting,"Philadelphia, PA"
46,GPIGAMING.COM,Gaming Partners International,Industrial Manufacturing,"North Las Vegas, NV"
47,www.matson.com,Matson,Shipping,"Honolulu, HI"
48,Arapahoe Libraries Revenue $50 million,Arapahoe Libraries,Regional Agencies,"Englewood, CO"
49,www.braskem.com.br,Braskem,Chemical Manufacturing,"São Paulo, Brazil"
50,NWLIC New chapter,New Chapter Consulting,Staffing & Outsourcing,"Leeds, United Kingdom"
51,"Russell,Kraft&Gruber",Donald Russell,Food & Beverage Shops,"Harrow, United Kingdom"
52,MEINHARDT - 2 Billions revenue,Meinhardt Singapore,Accounting,"Singapore, Singapore"
53,Agrosuper,Agrosuper,Food & Drink Manufacturing,"Rancagua, Chile"
54,Amicorp Group,Amicorp,Investment Banking & Asset Management,"Bangalore, India"
55,Elsa LLC,Elsa,Industrial Manufacturing,"Elwood, IN"
56,eurecat.com,Eurecat U S Incorporated,Chemical Manufacturing,
57,ODLO International AG,ODLO,Consumer Products Manufacturing,"Hünenberg, Switzerland"
58,Adif (adif.es),ADIF,Transportation Management,"Madrid, Spain"
59,Genesis Products Inc.,Genesis Products,Wood Product Manufacturing,"Elkhart, IN"
60,Duncan Co (www.duncanco.com) Part 1,Duncan Enterprises,Miscellaneous Manufacturing,"Fresno, CA"
61,Silvaris,Silvaris,"Department, Clothing, & Shoe Shops","Mercer Island, WA"
62,www.lionco.com,Lion,Food & Drink Manufacturing,"Sydney, Australia"
63,For press and public #4 (Lawyer case),Law Asia,Legal,"Singapore, Singapore"
64,Snaptron Inc,Snaptron,Electrical & Electronic Manufacturing,"Windsor, CO"
65,Armour & Associates,Armour & Associates,Staffing & Outsourcing,"Meridian, ID"
66,Patten & Prentice patten.co.uk,Parkway Pantai,Healthcare Services & Hospital,"Singapore, Singapore"
67,Groupe Cactus,The Cactus Group,Security Service,"Brooks, Canada"
68,M J Payne Ltd,Accvisory,Accounting,"Singapore, Singapore"
69,NEDA USA,National Eating Disorders Association,Social Services,"Seattle, 061"
70,BURHANIGLASS.AE,Burhani Engineers,Architectural & Engineering Service,"Nairobi, Kenya"
71,jnbs,Jamaica National Building Society,Lending,"Kingston, Jamaica"
72,tirerama.com,Tire-Rama,Motor Vehicle Parts & Accessories Shops,"Billings, MT"
73,VP Supply Corp,VP Supply,Wholesale,"Rochester, NY"
